beverage,飲み物
sip,~を一口飲む、少しずつ飲む
bag,~を袋に入れる、袋に詰める
power code,電源コード
board,役員会
just so you know,一言申し上げておきますが
give someone a tour,（人を）案内する
welcome aboard,（入社・搭乗してきた人に）ようこそ
affordable,"手頃な価格の

```
There is a severe shortage of affordable housing in the urban area.
（都市部では手頃な価格の住宅が極めて不足している）
```"
purse,"（女性用）ハンドバッグ

```
The woman are arranging purses for a display.
女性たちは点字のためにハンドバッグを並べている
```"
fold,"〜を折り畳む

```
Some dresses have been folded on a shelf.
何着かのワンピースが棚の上に畳んである
```"
podium,"演壇、指揮台、表彰台

```
A man is setting up a podium.
男性が演壇を設置している
```"
microphone,マイク
distribute,"〜を分配する、〜をばらまく

```
Trophies are being distributed at an awards ceremony.
トロフィーが表彰式で渡されている
```"
bow,"お辞儀する

```
A performer is bowing before an audience.
演奏者が観客の前でお辞儀している
```"
run out of,"〜を使い果たす

```
We're running out of paper for the copy machine.
コピー機の用紙を切らしてしまいそうです
```"
direct,"（人）を道案内する、〜への道を教える

```
Could you direct me to the accounting office?
会計事務所までの道を教えていただけませんか
```"
rather,"かなり、だいぶ、ずいぶん

```
He looks rather old to be a high school student.
彼は高校生にしてはかなり年がいっているように見える
```"
wonder if,"〜かどうか不思議に思う、〜ではないかと思う
```
I wonder if you can arrange for an interpreter.
通訳を手配していただくことはできますか？
``` "
share a ride,相乗りする
make a difference,"違いが生まれる、効果がある、改善する

```
It makes no difference to me who becomes the president of the U.S.
誰がアメリカの大統領になろうと、私にとっては同じことです
```"
carpool,"自動車の相乗りをする（動詞）、自動車の相乗り（名詞）
"
you know,"ご存知でしょうが、あのね、えー、〜でしょ
（※ この言葉はたくさんの意味があるようだ）"
prescription,処方箋、規定
make out,理解する、作り上げる、うまくいく
dosage,（薬などの）用量
heart attack,心臓発作
from around the global,世界中の
designated,指定された
complimentary,無料の
come down to,結局は ~ となる、とどのつまりは~である
make sales,売り上げる、売上を出す
terrific,素晴らしい、見事な
lease,賃貸契約する、賃貸する
utility bills,公共料金の請求
let us know if …,..かどうか私たちに知らせる
business cards,名刺
representative,代理人
banquet,宴会
refer to …,...するのに参照する
on behalf of …,…を代表して
reception,歓待
A as well as B,AおよびB
colleague,同僚
fall behind,遅れている
insulate,断熱する
remodeling,リフォーム
plumbing,配管工事
appear to do,doするように見える
settle into a routine,慣れて当たり前のことになる
settle,落ち着く、定住する、沈殿する
stringed instrument,弦楽器
mow,刈る
pour,注ぐ
business trip,出張
string quartet,弦楽四重奏
paperwork,事務書類
ceiling,天井
landscaping,景観
supply,備品
wheel,（車輪のついたものを）押す、動かす
litter,ごみ
lawn mower,芝刈り機
raffle,くじ引き、ラッフル
bulletin board,掲示板
watering can,じょうろ
come up with,（アイデアなどを）考え出す
workforce,（企業などの）全従業員
reelection,再選
predict,予測する
run for office,公職選挙に立候補する、出馬する
serving table,配膳台
polish,磨く
identify,特定する
go into effect,実施される
conservation,資源保護
label,ラベル付けする
fold,たたむ
overlook,見渡す
canal,運河
dock,ドッキングさせる
fountain,噴水
full price,定価
store,保管する
cover,表紙
deluxe,豪華な、デラックスな
commute,通勤する
walking distance,徒歩圏内、歩いていける距離
ideal,理想的な
wade,水中を歩く、苦労して進む
paddle,オールで漕ぐ
unzip,ファスナーを引いて開ける
go over,精査する
dishwashers,食洗機
province,州
allergy,アレルギー
sneeze,くしゃみ
remedy,治療薬、改善法
lean,身をかがめる
drawer,引き出し
due,〜する予定である、〜することになっている、期限が来て
supervise,監視する、監督する
vacancy,空き
admission,入ること、入場
stool,腰掛け
column,柱
sales figure,売上高
screwdriver,ドライバー
meantime,その間の時間
excerpt,抜粋
sturdy,丈夫な
cruising altitude,巡航高度
aircraft,航空機
cabin crew,客室乗務員
aisle,通路
restock,補充
drop off,乗り捨てる
application,応募書類、申込み、アプリケーション
relief,安心
figure out,計算して答えを出す、（原因などを）解き明かす、理解する
figure,数字、図、形
certification,証明、認定
storeroom,倉庫
To be honest,正直なところ
step away,離れる
bulk,大量
confident,自信に満ちた、確認している
adopt,採択する、選ぶ
adapt,順応する
breathtaking,息をのむような
stipulation,条件、条項
interest,利益
council,市議会
sit-up bench,腹筋用ベンチ
dazzle,キラキラと輝く、目がくらむ
majestic,荘厳な
grocery store,食料品店
prop,〜につっかえ棒をする、（つっかえ棒などで）支える
overbook,過剰予約する
payroll,支払い
line up,並ぶ
lead (down) to …,...へつながる、...へ降りていく
assemble,集まる
occupy,占有する
